Category,Prompt Type,Prompt Template,Expected Output
Document Processing,Invoice Processing,"Extract key invoice data from this document: [DOCUMENT]. Format output as JSON with vendor_name, invoice_number, amount, due_date, line_items.",Structured JSON with 95%+ accuracy
Document Processing,Contract Analysis,"Analyze this contract for key terms, risks, and obligations: [CONTRACT]. Provide structured summary with renewal dates, payment terms, and compliance requirements.",Risk assessment with compliance checklist
Customer Service,Chatbot Response,"Generate a helpful chatbot response for this customer inquiry: [INQUIRY]. Tone should be friendly, professional, and solution-focused. Include relevant links or next steps.",Human-like response with 90%+ satisfaction
Customer Service,Ticket Routing,"Route this support ticket to appropriate department based on content: [TICKET]. Consider urgency, expertise required, and current workload distribution.",Accurate department routing with priority level
Sales Automation,Lead Scoring,"Score this lead based on provided data: [LEAD_DATA]. Use criteria: company size, industry fit, technology stack, budget indicators, and engagement level.",Numerical score (0-100) with reasoning
Sales Automation,Follow-up Automation,Create personalized follow-up sequence for prospect: [PROSPECT_INFO]. Include 3 touchpoints over 2 weeks with value-added content.,Personalized email sequence with clear CTAs
Lead Generation,Prospect Research,"Research this company and identify key decision makers: [COMPANY]. Focus on technology adoption, current tools, and potential automation needs.",Decision maker list with contact info
Lead Generation,Outreach Personalization,Personalize this outreach message for [PROSPECT]: [BASE_MESSAGE]. Include relevant company insights and specific value propositions.,Customized message with 25%+ response rate
Workflow Analysis,Process Mapping,"Map current workflow for this business process: [PROCESS_DESCRIPTION]. Identify all steps, decision points, handoffs, and systems involved.",Visual workflow diagram with bottlenecks
Workflow Analysis,Bottleneck Identification,"Identify automation opportunities in this workflow: [WORKFLOW]. Highlight repetitive tasks, manual data entry, and integration points.",Prioritized automation opportunities list
Client Onboarding,Welcome Sequence,"Create onboarding welcome sequence for new client: [CLIENT_INFO]. Include timeline, expectations, required materials, and success metrics.",Multi-step onboarding plan with timelines
Client Onboarding,Progress Tracking,"Generate progress update for client project: [PROJECT_DETAILS]. Include completed milestones, current status, next steps, and performance metrics.",Professional status report with metrics
Business Intelligence,Dashboard Creation,"Design dashboard layout for [CLIENT_TYPE] showing [KEY_METRICS]. Include visual elements, data sources, and update frequency requirements.",Interactive dashboard mockup with data flows
Business Intelligence,Report Generation,"Generate executive summary report from this data: [DATA_SET]. Focus on key insights, trends, recommendations, and actionable next steps.",Executive-ready summary with recommendations
Content Creation,Proposal Writing,"Write compelling proposal for [CLIENT] addressing [PAIN_POINTS]. Include solution overview, implementation timeline, pricing, and ROI projections.",Professional proposal with clear value prop
Content Creation,Case Study Development,"Develop case study from this project: [PROJECT_DETAILS]. Structure: challenge, solution, implementation, results, and client testimonial.",Compelling success story with measurable results
API Development,Endpoint Design,"Design API endpoint for [FUNCTIONALITY]. Include request/response formats, authentication, rate limiting, and error handling specifications.",Complete API specification with examples
API Development,Data Validation,"Create data validation rules for [DATA_TYPE]. Include format checks, business logic validation, and error message templates.",Comprehensive validation framework
Training & Support,User Training,"Develop training module for [AUTOMATION_TOOL]. Include learning objectives, step-by-step instructions, practice exercises, and assessment criteria.",Structured learning path with assessments
Training & Support,Support Documentation,"Write user documentation for [FEATURE]. Include overview, prerequisites, detailed instructions, troubleshooting, and FAQ section.",User-friendly guide with visual aids
